source\target,abseiling,air drumming,answering questions,applauding,applying cream,archery,arm wrestling,arranging flowers,assembling computer,auctioning,baby waking up,baking cookies,balloon blowing,bandaging,barbequing,bartending,beatboxing,bee keeping,belly dancing,bench pressing,bending back,bending metal,biking through snow,blasting sand,blowing glass,blowing leaves,blowing nose,blowing out candles,bobsledding,bookbinding,bouncing on trampoline,bowling,braiding hair,breading or breadcrumbing,breakdancing,brush painting,brushing hair,brushing teeth,building cabinet,building shed,bungee jumping,busking,canoeing or kayaking,capoeira,carrying baby,cartwheeling,carving pumpkin,catching fish,catching or throwing baseball,catching or throwing frisbee,catching or throwing softball,celebrating,changing oil,changing wheel,checking tires,cheerleading,chopping wood,clapping,clay pottery making,clean and jerk,cleaning floor,cleaning gutters,cleaning pool,cleaning shoes,cleaning toilet,cleaning windows,climbing a rope,climbing ladder,climbing tree,contact juggling,cooking chicken,cooking egg,cooking on campfire,cooking sausages,counting money,country line dancing,cracking neck,crawling baby,crossing river,crying,curling hair,cutting nails,cutting pineapple,cutting watermelon,dancing ballet,dancing charleston,dancing gangnam style,dancing macarena,deadlifting,decorating the christmas tree,digging,dining,disc golfing,diving cliff,dodgeball,doing aerobics,doing laundry,doing nails,drawing,dribbling basketball,drinking,drinking beer,drinking shots,driving car,driving tractor,drop kicking,drumming fingers,dunking basketball,dying hair,eating burger,eating cake,eating carrots,eating chips,eating doughnuts,eating hotdog,eating ice cream,eating spaghetti,eating watermelon,egg hunting,exercising arm,exercising with an exercise ball,extinguishing fire,faceplanting,feeding birds,feeding fish,feeding goats,filling eyebrows,finger snapping,fixing hair,flipping pancake,flying kite,folding clothes,folding napkins,folding paper,front raises,frying vegetables,garbage collecting,gargling,getting a haircut,getting a tattoo,giving or receiving award,golf chipping,golf driving,golf putting,grinding meat,grooming dog,grooming horse,gymnastics tumbling,hammer throw,headbanging,headbutting,high jump,high kick,hitting baseball,hockey stop,holding snake,hopscotch,hoverboarding,hugging,hula hooping,hurdling,hurling (sport),ice climbing,ice fishing,ice skating,ironing,javelin throw,jetskiing,jogging,juggling balls,juggling fire,juggling soccer ball,jumping into pool,jumpstyle dancing,kicking field goal,kicking soccer ball,kissing,kitesurfing,knitting,krumping,laughing,laying bricks,long jump,lunge,making a cake,making a sandwich,making bed,making jewelry,making pizza,making snowman,making sushi,making tea,marching,massaging back,massaging feet,massaging legs,massaging person's head,milking cow,mopping floor,motorcycling,moving furniture,mowing lawn,news anchoring,opening bottle,opening present,paragliding,parasailing,parkour,passing American football (in game),passing American football (not in game),peeling apples,peeling potatoes,petting animal (not cat),petting cat,picking fruit,planting trees,plastering,playing accordion,playing badminton,playing bagpipes,playing basketball,playing bass guitar,playing cards,playing cello,playing chess,playing clarinet,playing controller,playing cricket,playing cymbals,playing didgeridoo,playing drums,playing flute,playing guitar,playing harmonica,playing harp,playing ice hockey,playing keyboard,playing kickball,playing monopoly,playing organ,playing paintball,playing piano,playing poker,playing recorder,playing saxophone,playing squash or racquetball,playing tennis,playing trombone,playing trumpet,playing ukulele,playing violin,playing volleyball,playing xylophone,pole vault,presenting weather forecast,pull ups,pumping fist,pumping gas,punching bag,punching person (boxing),push up,pushing car,pushing cart,pushing wheelchair,reading book,reading newspaper,recording music,riding a bike,riding camel,riding elephant,riding mechanical bull,riding mountain bike,riding mule,riding or walking with horse,riding scooter,riding unicycle,ripping paper,robot dancing,rock climbing,rock scissors paper,roller skating,running on treadmill,sailing,salsa dancing,sanding floor,scrambling eggs,scuba diving,setting table,shaking hands,shaking head,sharpening knives,sharpening pencil,shaving head,shaving legs,shearing sheep,shining shoes,shooting basketball,shooting goal (soccer),shot put,shoveling snow,shredding paper,shuffling cards,side kick,sign language interpreting,singing,situp,skateboarding,ski jumping,skiing (not slalom or crosscountry),skiing crosscountry,skiing slalom,skipping rope,skydiving,slacklining,slapping,sled dog racing,smoking,smoking hookah,snatch weight lifting,sneezing,sniffing,snorkeling,snowboarding,snowkiting,snowmobiling,somersaulting,spinning poi,spray painting,spraying,springboard diving,squat,sticking tongue out,stomping grapes,stretching arm,stretching leg,strumming guitar,surfing crowd,surfing water,sweeping floor,swimming backstroke,swimming breast stroke,swimming butterfly stroke,swing dancing,swinging legs,swinging on something,sword fighting,tai chi,taking a shower,tango dancing,tap dancing,tapping guitar,tapping pen,tasting beer,tasting food,testifying,texting,throwing axe,throwing ball,throwing discus,tickling,tobogganing,tossing coin,tossing salad,training dog,trapezing,trimming or shaving beard,trimming trees,triple jump,tying bow tie,tying knot (not on a tie),tying tie,unboxing,unloading truck,using computer,using remote controller (not gaming),using segway,vault,waiting in line,walking the dog,washing dishes,washing feet,washing hair,washing hands,water skiing,water sliding,watering plants,waxing back,waxing chest,waxing eyebrows,waxing legs,weaving basket,welding,whistling,windsurfing,wrapping present,wrestling,writing,yawning,yoga,zumba
brush_hair,0.1579,0.1364,0.1379,0.1,0.0833,0.1765,0.1304,0.0741,0.069,0.1,0.2083,0.0833,0.12,0.1579,0.2,0.15,0.15,0.1429,0.1739,0.1667,0.1364,0.1304,0.1379,0.1739,0.087,0.0833,0.0909,0.069,0.1429,0.0952,0.125,0.1176,0.471,0.2,0.1818,0.5,0.6014,0.2917,0.1923,0.1739,0.1667,0.2353,0.0333,0.1667,0.1304,0.1364,0.12,0.087,0.1026,0.1053,0.0769,0.1905,0.1364,0.125,0.1667,0.1364,0.087,0.1111,0.0345,0.0417,0.0417,0.0769,0.0435,0.0833,0.08,0.0385,0.08,0.08,0.087,0.0769,0.12,0.0476,0.1034,0.1154,0.0833,0.1333,0.087,0.1739,0.2083,0.125,0.4394,0.1739,0.1111,0.0357,0.1667,0.1071,0.0323,0.0769,0.0952,0.1282,0.0588,0.0625,0.1364,0.0909,0.1053,0.1667,0.0435,0.1429,0.1765,0.1,0.1111,0.1739,0.125,0.1429,0.16,0.1364,0.1154,0.1071,0.4167,0.2174,0.1429,0.2083,0.1818,0.1923,0.087,0.1538,0.1154,0.037,0.1429,0.125,0.0952,0.2143,0.0909,0.1304,0.0909,0.0435,0.1923,0.16,0.4048,0.0769,0.0952,0.12,0.04,0.0435,0.1818,0.0741,0.0714,0.1111,0.1852,0.0769,0.1143,0.087,0.0909,0.0909,0.1304,0.0909,0.1667,0.069,0.1364,0.1429,0.1429,0.1053,0.1579,0.1923,0.0476,0.087,0.1053,0.1304,0.1176,0.1818,0.1111,0.16,0.1364,0.1905,0.1429,0.1176,0.0435,0.1053,0.0588,0.125,0.087,0.0667,0.0741,0.0741,0.1071,0.069,0.1176,0.0952,0.0556,0.1667,0.1667,0.2609,0.1053,0.0667,0.1304,0.0741,0.2,0.1667,0.0909,0.0833,0.1818,0.1,0.1667,0.1667,0.125,0.1667,0.0606,0.0952,0.1304,0.0909,0.1538,0.0952,0.0833,0.125,0.08,0.1429,0.1905,0.1765,0.0667,0.0612,0.125,0.0385,0.0882,0.0952,0.1739,0.0833,0.1,0.1481,0.1481,0.1923,0.1786,0.1724,0.2174,0.1304,0.1739,0.1538,0.1429,0.16,0.2,0.1429,0.2609,0.1739,0.1667,0.1111,0.1364,0.1429,0.1923,0.1538,0.1154,0.1739,0.0741,0.1304,0.0435,0.0769,0.0741,0.1026,0.0417,0.0385,0.08,0.04,0.0833,0.0714,0.037,0.05,0.1081,0.1111,0.0909,0.0952,0.1818,0.1471,0.2353,0.2381,0.2273,0.2857,0.1818,0.1481,0.16,0.1304,0.0909,0.12,0.2188,0.1667,0.0952,0.0789,0.125,0.12,0.1304,0.0435,0.087,0.1379,0.1667,0.1667,0.1765,0.087,0.1739,0.08,0.0909,0.0435,0.1739,0.1818,0.1481,0.1481,0.1818,0.1818,0.1667,0.1739,0.1379,0.125,0.1667,0.125,0.16,0.16,0.1053,0.1111,0.1176,0.0667,0.1304,0.1429,0.1111,0.1379,0.1304,0.1304,0.1053,0.1429,0.1667,0.08,0.1176,0.125,0.129,0.1111,0.1111,0.1,0.1364,0.1,0.0909,0.1304,0.0909,0.125,0.1667,0.0714,0.1333,0.1034,0.16,0.1667,0.125,0.1154,0.1304,0.1739,0.125,0.1379,0.1562,0.1429,0.087,0.1304,0.129,0.0417,0.2353,0.2,0.087,0.0952,0.1667,0.1429,0.1818,0.0909,0.1,0.0588,0.0909,0.1304,0.16,0.0556,0.1429,0.0909,0.1304,0.1364,0.1579,0.1714,0.1667,0.0952,0.1304,0.0857,0.1053,0.1111,0.2,0.1667,0.087,0.1364,0.0667,0.12,0.16,0.2083,0.1364,0.3485,0.1304,0.0455,0.0435,0.08,0.1905,0.1818,0.24,0.1905,0.2083,0.0588,0.1053,0.0952,0.1923,0.1579,0.1176,0.1176,0.0714,0.1333
cartwheel,0.1667,0.0952,0.1071,0.1053,0.087,0.25,0.1818,0.1538,0.0714,0.1053,0.087,0.087,0.0833,0.0556,0.1579,0.2105,0.1053,0.1,0.0909,0.1304,0.0952,0.0909,0.0714,0.0909,0.0455,0.087,0.0952,0.1071,0.05,0.0,0.0968,0.125,0.0909,0.0882,0.0476,0.087,0.0909,0.1739,0.12,0.0909,0.087,0.0,0.1034,0.1765,0.1364,0.4286,0.125,0.1818,0.1316,0.1351,0.1316,0.15,0.1429,0.3043,0.1739,0.2381,0.0909,0.1176,0.1071,0.1304,0.1304,0.12,0.1364,0.1739,0.1667,0.12,0.125,0.125,0.1818,0.16,0.125,0.1,0.1429,0.12,0.1304,0.1034,0.1364,0.1818,0.1304,0.1333,0.1429,0.1364,0.1154,0.1852,0.0435,0.1481,0.1333,0.16,0.1,0.1842,0.0,0.0,0.0952,0.0952,0.1111,0.0435,0.0909,0.1,0.125,0.1034,0.0588,0.0909,0.087,0.15,0.0833,0.0476,0.08,0.1111,0.1053,0.0909,0.15,0.2174,0.1429,0.08,0.1364,0.16,0.16,0.1538,0.05,0.1739,0.0976,0.0741,0.1429,0.1364,0.0952,0.0909,0.12,0.0417,0.1,0.12,0.1,0.2083,0.0417,0.0909,0.0952,0.0769,0.1481,0.1765,0.0769,0.08,0.1176,0.1364,0.0952,0.0476,0.0909,0.0476,0.1304,0.1071,0.1905,0.1,0.1,0.0556,0.0556,0.08,0.1,0.0909,0.1667,0.0909,0.0625,0.0476,0.1176,0.1667,0.0952,0.1,0.15,0.0625,0.1364,0.0556,0.0,0.087,0.1364,0.069,0.0769,0.1154,0.0741,0.0714,0.0,0.05,0.0588,0.0588,0.1176,0.0909,0.0556,0.0714,0.1364,0.0769,0.0526,0.1304,0.0476,0.087,0.0952,0.1579,0.1765,0.087,0.087,0.0435,0.0938,0.15,0.0455,0.0952,0.12,0.1,0.1304,0.1304,0.0833,0.15,0.15,0.125,0.0909,0.0833,0.1739,0.12,0.1212,0.2,0.0455,0.1739,0.1053,0.0769,0.1154,0.12,0.1111,0.1071,0.1818,0.1364,0.1818,0.2,0.0741,0.0833,0.125,0.037,0.0455,0.0455,0.1304,0.1154,0.1429,0.0741,0.12,0.12,0.04,0.0909,0.1154,0.0909,0.0909,0.12,0.1154,0.0789,0.1304,0.12,0.125,0.125,0.087,0.1111,0.1154,0.1053,0.1944,0.0588,0.0476,0.05,0.0952,0.0606,0.0625,0.2,0.2381,0.1852,0.0476,0.1154,0.125,0.0909,0.1905,0.0833,0.0968,0.069,0.05,0.0811,0.087,0.0833,0.0909,0.1364,0.0909,0.0714,0.087,0.069,0.125,0.1364,0.0455,0.125,0.0952,0.0909,0.0909,0.0952,0.1154,0.1538,0.0952,0.0476,0.2174,0.0909,0.1071,0.0968,0.1176,0.1304,0.1667,0.2083,0.1111,0.0571,0.0,0.0714,0.0909,0.0,0.0682,0.1071,0.0909,0.0909,0.0,0.1,0.0588,0.0833,0.0,0.087,0.0667,0.1176,0.0,0.1579,0.0952,0.0526,0.0952,0.0909,0.0,0.087,0.0588,0.0741,0.1429,0.1071,0.0833,0.1739,0.087,0.12,0.1364,0.0909,0.1739,0.1071,0.0968,0.0882,0.0909,0.0455,0.0667,0.0435,0.125,0.125,0.0909,0.1,0.1304,0.05,0.0952,0.0952,0.1053,0.125,0.1429,0.1364,0.125,0.1176,0.05,0.0952,0.0909,0.0476,0.1111,0.0882,0.1304,0.1,0.0909,0.0882,0.1111,0.0,0.0833,0.087,0.1111,0.0476,0.1429,0.0833,0.1667,0.087,0.0952,0.1905,0.1364,0.0952,0.0909,0.0833,0.1,0.1429,0.0417,0.05,0.1739,0.1875,0.1667,0.05,0.04,0.1667,0.125,0.125,0.0769,0.0714
catch,0.0714,0.0588,0.0833,0.0667,0.1053,0.25,0.1111,0.0455,0.0833,0.1333,0.0526,0.0526,0.05,0.0714,0.0667,0.1333,0.1333,0.0,0.0556,0.1053,0.0588,0.0556,0.0833,0.1111,0.0556,0.0526,0.0,0.125,0.0,0.0,0.0741,0.0,0.1111,0.0667,0.0588,0.1053,0.0556,0.1053,0.1429,0.0556,0.0,0.0,0.08,0.1538,0.1111,0.2353,0.1,0.2778,0.1471,0.1515,0.1471,0.1875,0.1176,0.1053,0.1053,0.1176,0.1111,0.1538,0.125,0.1053,0.1053,0.1429,0.1111,0.1579,0.15,0.0952,0.05,0.1,0.1111,0.1429,0.1,0.0625,0.125,0.0952,0.1053,0.12,0.1667,0.1111,0.0526,0.0909,0.1176,0.1111,0.0909,0.1304,0.0526,0.087,0.1154,0.0952,0.125,0.1176,0.0,0.0,0.0588,0.0588,0.0714,0.0526,0.0556,0.0625,0.0833,0.08,0.0,0.0,0.0526,0.125,0.1,0.0588,0.0,0.087,0.0667,0.1111,0.1875,0.1579,0.1765,0.0952,0.1667,0.1905,0.1429,0.0909,0.0625,0.0526,0.0811,0.087,0.1765,0.0,0.0588,0.1111,0.0,0.05,0.0625,0.0952,0.0625,0.15,0.05,0.0556,0.0588,0.0455,0.087,0.0769,0.0909,0.0952,0.0333,0.1111,0.0,0.0588,0.1111,0.0,0.0526,0.0833,0.1765,0.0625,0.125,0.0714,0.0714,0.0952,0.125,0.0556,0.2857,0.0556,0.0833,0.0588,0.0769,0.1,0.1176,0.0625,0.1875,0.0,0.1667,0.0714,0.0,0.0526,0.0,0.08,0.0455,0.0909,0.0435,0.0833,0.0,0.0625,0.0769,0.0,0.1538,0.1111,0.0,0.0,0.1111,0.1364,0.0667,0.0526,0.0588,0.0526,0.1176,0.1333,0.2308,0.1053,0.0526,0.0526,0.0357,0.0625,0.0,0.1176,0.0476,0.0625,0.1579,0.0526,0.05,0.0625,0.0625,0.0833,0.075,0.0682,0.0526,0.0952,0.1034,0.1875,0.0556,0.1053,0.1333,0.0909,0.0909,0.0476,0.087,0.0833,0.1111,0.1111,0.1111,0.1429,0.087,0.1,0.1,0.0435,0.0556,0.0556,0.0526,0.0909,0.0588,0.087,0.0476,0.0952,0.0476,0.0556,0.0909,0.0556,0.0556,0.0476,0.0909,0.0882,0.1053,0.0952,0.1,0.05,0.0526,0.0435,0.0909,0.1333,0.125,0.0,0.0588,0.0625,0.1765,0.069,0.0833,0.1875,0.2353,0.087,0.0588,0.0455,0.1,0.0556,0.1176,0.1,0.0741,0.04,0.0,0.0909,0.1053,0.1,0.0556,0.1111,0.1111,0.0833,0.1053,0.04,0.0833,0.1111,0.0556,0.1,0.1176,0.0556,0.1111,0.1176,0.0455,0.0909,0.1176,0.0588,0.1053,0.0556,0.125,0.1111,0.1538,0.0526,0.1,0.15,0.0714,0.0323,0.0,0.1,0.1111,0.0,0.05,0.0833,0.0556,0.0,0.0,0.0625,0.0769,0.05,0.0,0.1053,0.1538,0.0,0.0,0.0,0.0588,0.0667,0.0,0.1111,0.0,0.1053,0.0769,0.0435,0.2,0.0833,0.1,0.2105,0.1579,0.0952,0.0556,0.1111,0.0,0.0833,0.0741,0.0333,0.0556,0.0,0.0769,0.0526,0.1667,0.1,0.1111,0.125,0.1053,0.0625,0.1176,0.1176,0.0667,0.0833,0.1765,0.1667,0.15,0.0769,0.0625,0.1176,0.1111,0.0588,0.0714,0.0667,0.0526,0.0625,0.0556,0.0667,0.0714,0.0,0.1,0.1053,0.0732,0.0588,0.2,0.1,0.05,0.1053,0.1176,0.1176,0.1111,0.1176,0.1111,0.1,0.125,0.1176,0.05,0.0625,0.1053,0.0,0.0714,0.0,0.0476,0.0714,0.0833,0.0833,0.1111,0.1
chew,0.0769,0.0,0.0435,0.0,0.1111,0.2727,0.0588,0.0476,0.087,0.0714,0.0556,0.1111,0.0526,0.0,0.0714,0.0714,0.0714,0.0667,0.0588,0.1667,0.125,0.0588,0.0435,0.0,0.0588,0.0556,0.0625,0.087,0.0667,0.0,0.0769,0.0909,0.0588,0.069,0.0625,0.0556,0.0588,0.1111,0.1,0.1176,0.0556,0.0,0.0833,0.1667,0.0588,0.1875,0.0526,0.1176,0.0909,0.125,0.0909,0.1333,0.125,0.1667,0.1667,0.1875,0.1765,0.0833,0.087,0.1111,0.1111,0.1,0.1176,0.1667,0.1053,0.15,0.1053,0.1053,0.1176,0.05,0.1579,0.1333,0.087,0.1,0.1111,0.0833,0.1176,0.1176,0.1111,0.1,0.125,0.0588,0.0952,0.0909,0.0556,0.1364,0.08,0.1,0.0667,0.0909,0.0,0.0,0.0625,0.0625,0.0769,0.0556,0.0,0.0,0.0909,0.0417,0.0,0.0588,0.0556,0.0667,0.0526,0.0625,0.05,0.0455,0.0714,0.0588,0.1333,0.1111,0.1875,0.1,0.0588,0.1,0.1,0.0952,0.0667,0.0556,0.0556,0.0909,0.125,0.0588,0.0625,0.0588,0.1,0.0526,0.0667,0.1,0.0667,0.1579,0.0,0.0588,0.0625,0.0476,0.0909,0.0,0.0476,0.05,0.069,0.1176,0.0,0.0,0.0588,0.0,0.1111,0.0435,0.1875,0.1333,0.1333,0.0769,0.0769,0.05,0.1333,0.1176,0.1538,0.1176,0.0909,0.0625,0.0833,0.0526,0.125,0.1333,0.1333,0.0,0.1176,0.0769,0.0,0.0,0.0588,0.0833,0.0,0.0952,0.0455,0.087,0.0,0.0667,0.0,0.0,0.0833,0.0588,0.0,0.1111,0.1176,0.0952,0.0714,0.1111,0.0,0.0556,0.0625,0.0714,0.1667,0.0556,0.0556,0.0556,0.0741,0.1333,0.0,0.0625,0.05,0.0667,0.2222,0.0556,0.0526,0.0,0.0,0.0,0.0513,0.0465,0.0556,0.05,0.0714,0.1333,0.0588,0.0556,0.0714,0.0476,0.0,0.05,0.0455,0.0,0.0588,0.1176,0.1765,0.1,0.0909,0.1053,0.0526,0.0455,0.0,0.0588,0.0,0.0476,0.0625,0.0909,0.05,0.05,0.0,0.0,0.0,0.0,0.0588,0.1,0.0952,0.0606,0.0556,0.05,0.0526,0.0526,0.0,0.0455,0.0952,0.0714,0.0968,0.0,0.0,0.0,0.125,0.0714,0.0909,0.1333,0.125,0.0909,0.0625,0.0952,0.1053,0.0588,0.125,0.0526,0.0769,0.0417,0.0667,0.0938,0.1111,0.1053,0.0588,0.0588,0.0588,0.0435,0.0556,0.0417,0.0,0.0588,0.0,0.0526,0.0625,0.0588,0.0588,0.125,0.0952,0.1429,0.125,0.0625,0.1111,0.1176,0.0435,0.0769,0.0833,0.1667,0.1053,0.1053,0.1538,0.0333,0.0,0.0,0.0588,0.0,0.0256,0.0435,0.0,0.0588,0.0,0.0667,0.0,0.1053,0.0,0.0556,0.12,0.0833,0.0,0.0714,0.0625,0.0714,0.0625,0.0588,0.0,0.0,0.0,0.0,0.0,0.087,0.0526,0.1111,0.1111,0.0,0.1176,0.0588,0.0556,0.1304,0.0769,0.069,0.1176,0.1176,0.08,0.1111,0.1818,0.1053,0.0588,0.0667,0.0,0.0667,0.0625,0.0,0.0714,0.0909,0.125,0.1176,0.1579,0.0833,0.0,0.0625,0.0,0.0,0.0769,0.0345,0.0556,0.0667,0.0588,0.0345,0.0769,0.0,0.0526,0.1111,0.05,0.125,0.0,0.1053,0.1579,0.1667,0.0625,0.125,0.1176,0.0625,0.0588,0.0526,0.1333,0.25,0.1053,0.1333,0.1111,0.0909,0.0769,0.0667,0.1,0.0769,0.0909,0.0909,0.0,0.0
clap,0.0769,0.0625,0.0435,0.1429,0.1111,0.0909,0.0588,0.0476,0.087,0.0714,0.1111,0.0556,0.0526,0.0769,0.0714,0.0714,0.0714,0.0667,0.0588,0.1111,0.0625,0.0588,0.0,0.1176,0.1176,0.1111,0.0625,0.087,0.0667,0.0,0.0769,0.0909,0.0588,0.069,0.0625,0.0556,0.0588,0.0,0.1,0.0588,0.0556,0.0,0.0833,0.25,0.1176,0.125,0.1579,0.1176,0.0606,0.0625,0.0606,0.2,0.125,0.1111,0.0556,0.1875,0.1176,0.3333,0.1739,0.1667,0.1667,0.15,0.2353,0.1667,0.1579,0.15,0.1579,0.1579,0.1176,0.1,0.0526,0.0667,0.1304,0.1,0.0556,0.0833,0.1176,0.1176,0.0556,0.1,0.1875,0.1176,0.1429,0.0909,0.0556,0.1364,0.08,0.1,0.0667,0.0606,0.0,0.0,0.125,0.125,0.0769,0.0556,0.1176,0.0667,0.0909,0.0417,0.0,0.0,0.0,0.1333,0.0526,0.0625,0.0,0.0455,0.0714,0.0588,0.1333,0.1111,0.125,0.05,0.0588,0.1,0.1,0.0476,0.0,0.0556,0.0278,0.0,0.1875,0.0,0.0,0.0588,0.05,0.1053,0.0667,0.1,0.0667,0.1053,0.1579,0.1765,0.0625,0.0476,0.1364,0.0833,0.0476,0.05,0.0345,0.1176,0.0625,0.125,0.0588,0.0,0.0,0.087,0.0625,0.0667,0.0667,0.0769,0.0769,0.05,0.1333,0.1176,0.0769,0.0588,0.0,0.125,0.0833,0.0526,0.125,0.0667,0.1333,0.0,0.0588,0.0,0.0,0.0556,0.0588,0.0417,0.0476,0.0952,0.0455,0.0435,0.0,0.0,0.0,0.0833,0.1667,0.1765,0.0769,0.1111,0.1176,0.0476,0.0714,0.1111,0.125,0.0556,0.0625,0.0714,0.0833,0.1111,0.0556,0.1111,0.0741,0.1333,0.1176,0.125,0.0,0.1333,0.0556,0.1111,0.0526,0.0667,0.0667,0.0909,0.1026,0.093,0.1111,0.1,0.1071,0.2,0.0588,0.1111,0.1429,0.1429,0.0952,0.1,0.0909,0.087,0.1765,0.1765,0.1765,0.2,0.1364,0.1579,0.1579,0.0909,0.1176,0.1176,0.1111,0.1429,0.125,0.1364,0.1,0.15,0.1,0.1176,0.0952,0.1176,0.1765,0.1,0.1429,0.0606,0.1111,0.1,0.1579,0.1053,0.1111,0.0909,0.1429,0.1429,0.0968,0.1667,0.0625,0.1333,0.0625,0.0357,0.0909,0.2,0.1875,0.0909,0.0625,0.0952,0.0526,0.0588,0.125,0.1053,0.0769,0.0417,0.0667,0.0312,0.0556,0.1053,0.1176,0.0588,0.1176,0.087,0.1111,0.0417,0.0909,0.1765,0.1176,0.1053,0.125,0.0588,0.0588,0.0625,0.0952,0.1905,0.0625,0.125,0.1111,0.0,0.0435,0.0769,0.0833,0.0556,0.1053,0.1053,0.0769,0.0667,0.0,0.1111,0.0588,0.0667,0.0769,0.0435,0.1176,0.0588,0.0,0.1333,0.25,0.1053,0.0,0.0556,0.04,0.0,0.0,0.0714,0.0625,0.0,0.0625,0.0588,0.0625,0.1111,0.0833,0.0455,0.1111,0.0435,0.1053,0.0556,0.0556,0.05,0.0588,0.0588,0.1111,0.0435,0.0385,0.0345,0.0588,0.0588,0.0,0.0,0.1818,0.0526,0.1176,0.2,0.1111,0.1333,0.0625,0.0625,0.0,0.0,0.0625,0.0588,0.0526,0.1667,0.0667,0.0625,0.1176,0.0625,0.1538,0.0345,0.0,0.0667,0.0,0.0345,0.0,0.0,0.1579,0.1111,0.075,0.0625,0.1111,0.1053,0.0526,0.0556,0.0625,0.0625,0.0588,0.0625,0.1176,0.1053,0.1333,0.125,0.0526,0.1333,0.0556,0.0909,0.0769,0.0,0.1,0.0769,0.0,0.0909,0.125,0.1111
climb,0.1429,0.1176,0.0417,0.1333,0.1053,0.0833,0.1111,0.0455,0.125,0.1333,0.0526,0.1053,0.1,0.0714,0.0667,0.0667,0.0667,0.0625,0.1111,0.1053,0.1176,0.0556,0.0417,0.1111,0.1111,0.1053,0.1176,0.0833,0.125,0.0625,0.1111,0.1667,0.0556,0.1,0.1176,0.0526,0.0556,0.0526,0.0952,0.1111,0.0526,0.0833,0.08,0.1538,0.1111,0.1765,0.15,0.1111,0.0588,0.0909,0.0882,0.1875,0.1176,0.1053,0.1053,0.1765,0.1111,0.2308,0.125,0.1053,0.1579,0.1429,0.1667,0.1579,0.15,0.1429,0.25,0.25,0.2778,0.1429,0.1,0.125,0.0833,0.0952,0.1579,0.12,0.1111,0.1667,0.1053,0.1818,0.1765,0.1111,0.0909,0.087,0.1053,0.1304,0.0769,0.1429,0.125,0.0882,0.0833,0.0909,0.1765,0.1765,0.0714,0.1053,0.0556,0.0625,0.0833,0.08,0.0769,0.0556,0.0526,0.125,0.05,0.1176,0.0476,0.087,0.0667,0.0556,0.125,0.1053,0.1176,0.0476,0.0556,0.0952,0.0476,0.0455,0.0625,0.1053,0.0541,0.0435,0.1765,0.0556,0.0588,0.0556,0.0952,0.05,0.0625,0.0952,0.125,0.15,0.1,0.1111,0.0588,0.0455,0.1739,0.1538,0.0455,0.0476,0.0667,0.1111,0.0588,0.1176,0.1111,0.0588,0.0526,0.125,0.0588,0.0625,0.0625,0.1429,0.0714,0.0952,0.0625,0.1111,0.0714,0.0556,0.0833,0.0588,0.1538,0.1,0.2941,0.0625,0.125,0.0833,0.1111,0.0714,0.0833,0.1053,0.1111,0.08,0.0455,0.0909,0.087,0.0833,0.0833,0.0625,0.0769,0.0769,0.1538,0.1667,0.0714,0.1,0.1111,0.0455,0.0667,0.1053,0.0588,0.1053,0.0588,0.0667,0.1538,0.1053,0.0526,0.1053,0.0357,0.1875,0.1111,0.1765,0.0952,0.125,0.1053,0.1053,0.05,0.125,0.125,0.0,0.075,0.0682,0.1053,0.0952,0.069,0.125,0.1111,0.1053,0.1333,0.1364,0.0909,0.0952,0.087,0.0833,0.1667,0.1667,0.1667,0.1429,0.1304,0.15,0.15,0.087,0.1111,0.1111,0.1053,0.1364,0.1176,0.1304,0.0952,0.1429,0.0952,0.1111,0.0909,0.1111,0.1111,0.0476,0.0909,0.0588,0.1053,0.1905,0.15,0.1,0.1053,0.1304,0.0909,0.0667,0.0625,0.0769,0.1176,0.0625,0.1176,0.069,0.0,0.125,0.1176,0.087,0.0588,0.0455,0.1,0.0556,0.1765,0.1,0.1111,0.08,0.125,0.0606,0.0526,0.1,0.0556,0.1667,0.2778,0.0833,0.1053,0.04,0.1667,0.1111,0.1111,0.15,0.1176,0.0556,0.0556,0.0588,0.0455,0.1364,0.0588,0.1176,0.0526,0.0556,0.0833,0.1111,0.0,0.1053,0.05,0.15,0.1429,0.0645,0.0833,0.1,0.0556,0.0625,0.075,0.0833,0.1111,0.0556,0.0714,0.1875,0.1538,0.1,0.0833,0.0526,0.0769,0.0769,0.0769,0.1333,0.0588,0.0667,0.1176,0.1111,0.0588,0.0526,0.0769,0.087,0.0,0.0833,0.05,0.1053,0.1053,0.0952,0.1111,0.0556,0.1053,0.125,0.0741,0.1,0.1111,0.1111,0.0385,0.0526,0.1667,0.05,0.1111,0.125,0.0526,0.0625,0.0588,0.0588,0.0667,0.0833,0.0588,0.1111,0.1,0.2308,0.0625,0.1176,0.1111,0.0588,0.0714,0.0667,0.1053,0.0625,0.0556,0.0333,0.0714,0.0769,0.15,0.1053,0.0976,0.0588,0.1,0.1,0.1,0.0526,0.0588,0.0588,0.0556,0.0588,0.1111,0.1,0.125,0.1176,0.05,0.125,0.0526,0.1667,0.1429,0.0625,0.0476,0.1429,0.0833,0.0833,0.0,0.2
